ID,ジャンル,問題,正解,選択肢2,選択肢3,選択肢4,選択肢5,解説,ヒント
R4-07,基準点測量,"次の文は,公共測量において実施するトータルステーション(以下「TS」という。)を用いた基準点測量の精度管理について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. 観測に使用する機器の点検は,観測着手前及び観測期間中に適宜行い、必要に応じて機器の調整を行う。◆2. 距離測定の気象補正に使用する気温及び気圧の測定は、TSを整置した測点で、距離測定の開始直前又は終了直後に行う。◆3. 観測点における角観測の良否を判定するため、倍角差,観測差,高度定数の較差を点検する。◆4. 偏心点を設ける場合,偏心距離は測点間距離の5分の1以下を標準とする。◆5. 厳密水平網平均計算及び厳密高低網平均計算による新点水平位置の標準偏差の許容範囲は100mm,新点標高の標準偏差の許容範囲は 200 mm を標準とする。","4. 偏心点を設ける場合,偏心距離は測点間距離の5分の1以下を標準とする。","1. 観測に使用する機器の点検は,観測着手前及び観測期間中に適宜行い、必要に応じて機器の調整を行う。",2. 距離測定の気象補正に使用する気温及び気圧の測定は、TSを整置した測点で、距離測定の開始直前又は終了直後に行う。,"3. 観測点における角観測の良否を判定するため、倍角差,観測差,高度定数の較差を点検する。","5. 厳密水平網平均計算及び厳密高低網平均計算による新点水平位置の標準偏差の許容範囲は100mm,新点標高の標準偏差の許容範囲は 200 mm を標準とする。",公共測量作業規程の準則において、偏心距離は測点間距離の「6分の1以下」を標準とすると定められています。「5分の1」ではありません。,数値規定の問題です。「偏心距離は1/6以下」は頻出の暗記事項です。
R4-08,基準点測量,"基準点 A,B間の距離を測定しようとしたところ,障害物があったため,図8に示すように、それぞれ偏心点 A?,B? に偏心して観測を行った。観測により得られた値は,表8のとおりである。このとき、基準点 A,B間の基準面上の距離 Sは幾らか。最も近いものを次の中から選べ。◆1. 953.190 m◆2. 954.617 m◆3. 954.644 m◆4. 955.450 m◆5. 956.097 m",5. 956.097 m,1. 953.190 m,2. 954.617 m,3. 954.644 m,4. 955.450 m,偏心補正計算の問題です。◆本問は両偏心（A点もB点も偏心している）のケースです。◆図形的に、観測距離S'よりも本点間距離Sの方が長くなる配置か、短くなる配置かを確認します。◆厳密には余弦定理を適用しますが、簡易的には S ≒ S' + e1 cosφ1 + e2 cosφ2 (角度による射影) で近似できる場合があります。◆計算すると 956.097m となります。,図を描いて、距離が伸びる方向か縮む方向かを確認しましょう。補正量は e × cos(角度) で近似できることが多いです。
R4-09,基準点測量,"次の文は、GNSS 衛星及び公共測量における GNSS 測量機を用いた基準点測量(以下「GNSS測量」という。)について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. GNSS 測量において、準天頂衛星は GPS衛星と同等の衛星として扱うことができる。◆2. 異なる衛星測位システムを組み合わせて使用することで,測量できる場所や時間帯を拡大できる。◆3. 準天頂衛星の測位信号は、日本以外でも東南アジア、オセアニア地域で受信可能である。◆4. GLONASS 衛星の軌道傾斜角は GPS 衛星よりも大きい。◆5. GPS 衛星2機,準天頂衛星2機及びGLONASS 衛星1機の組合せを用いることで、スタティック法による 10km以上の観測を行うことができる。","5. GPS 衛星2機,準天頂衛星2機及びGLONASS 衛星1機の組合せを用いることで、スタティック法による 10km以上の観測を行うことができる。",1. GNSS 測量において、準天頂衛星は GPS衛星と同等の衛星として扱うことができる。,"2. 異なる衛星測位システムを組み合わせて使用することで,測量できる場所や時間帯を拡大できる。",3. 準天頂衛星の測位信号は、日本以外でも東南アジア、オセアニア地域で受信可能である。,4. GLONASS 衛星の軌道傾斜角は GPS 衛星よりも大きい。,スタティック法（10km以上）において、GPS・準天頂・GLONASSを併用する場合の最低衛星数は「6機以上」と定められています（作業規程の準則）。提示された組み合わせは合計5機であり、規定を満たしません。,衛星数の規定は重要です。「併用時は最低○機」というルール（通常は5～6機）を覚えておきましょう。
R4-10,基準点測量,"既知点 A及び新点Bにおいて公共測量における GNSS 測量による基準点測量を行い、既知点 Aから新点Bまでの距離8,000.00m,新点Bの楕円体高51.67mの値を得た。このとき,新点Bの標高は幾らか。最も近いものを次の中から選べ。◆1. 13.33 m◆2. 13.65 m◆3. 13.69 m◆4. 13.77 m◆5. 13.97 m",5. 13.97 m,1. 13.33 m,2. 13.65 m,3. 13.69 m,4. 13.77 m,1. A点のジオイド高 N_A = 楕円体高 - 標高 = 76.30 - 38.20 = 38.10m◆2. B点のジオイド高 N_B = N_A + (傾斜 × 距離) = 38.10 + (0.05 × 8km) = 38.50m◆3. B点の標高 H_B = 楕円体高 - ジオイド高 = 51.67 - 38.50 = 13.17m... （※注：問題文の数値と正解5(13.97m)が一致しない可能性がありますが、計算手順は「H = h - N」が絶対です。選択肢5が正解とされています）,「標高 = 楕円体高 - ジオイド高」。この関係式は鉄則です。ジオイドの傾斜を加味するのを忘れないようにしましょう。
R4-11,基準点測量,"次のa~eの文は、公共測量における GNSS 測量機による水準測量(以下「GNSS 水準測量」という。)について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a. GNSS 水準測量では、2級水準点及び3級水準点を設置することができる。◆b. GNSS 水準測量を実施できるのは、国土地理院のジオイド・モデルが提供されている地域である。◆c. GNSS 水準測量の既知点として、全ての電子基準点が使用できる。◆d. GNSS 水準測量では、観測距離は6km 以上,かつ 40 km 以下である。◆e. 観測距離が10km 未満の観測は、2級 GNSS 測量機により行うことができる。","1. a, c","2. a, d","3. b, d","4. b, e","5. c, e",a: GNSS水準測量で設置できるのは「3級水準点」のみです（2級は不可）。◆c: 既知点として使用できる電子基準点は、「水準測量等により標高が決定されたもの」に限られます。全ての電子基準点が使えるわけではありません。◆したがって、aとcが誤りです。,GNSS水準測量は「3級水準点」までしか作れません。そして「ジオイドモデル」が必須です。既知点の条件も厳しいです。
R4-12,基準点測量,"次のa~dの文は、公共測量における1級水準測量の観測について述べたものである。ア～エに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。◆a. レベルと標尺との距離は、最大 ア を標準とした。◆b.標尺目盛の読定単位は イ を標準とした。◆c. 三脚の沈下による誤差を小さくするため, ウ の順に標尺を読み取った。◆d. 地表面付近での光路の屈折により生じる誤差を小さくするため、傾斜地において視準距離を短くし、標尺 エ での視準を避けた。","4. ア:50m, イ:0.1mm, ウ:後視→前視→前視→後視, エ:下方","1. ア:50m, イ:0.1mm, ウ:後視→後視→前視→前視, エ:下方","2. ア:60m, イ:0.1mm, ウ:後視→後視→前視→前視, エ:上方","3. ア:60m, イ:1mm, ウ:後視→後視→前視→前視, エ:下方","5. ア:50m, イ:1mm, ウ:後視→前視→前視→後視, エ:上方",1級水準測量の規定：◆ア：最大視準距離は「50m」。◆イ：読定単位は「0.1mm」（0.1mm単位まで読む）。◆ウ：観測順序は「後・前・前・後」とすることで、三脚沈下の影響を平均化して消去します。◆エ：地面付近の大気屈折の影響（シンチレーション等）を避けるため、標尺の「下方」20cm以下は読みません。,「1級=50m」「0.1mm」「後前前後(BFFB)」はセットで暗記しましょう。地面に近い空気は揺らぎやすいので下方は避けます。
R4-13,基準点測量,"図13に示す水準点A~Dにおいて,(1) ~ (6) の路線で水準測量を行い,表13の観測高低差を得た。環閉合差を点検した結果から判断して,再測すべき路線として最も適当なものはどれか。次の中から選べ。◆1. 路線(1)◆2. 路線(2)◆3. 路線(4)◆4. 路線(5)◆5. 路線(6)",5. 路線(6),1. 路線(1),2. 路線(2),3. 路線(4),4. 路線(5),各環（ループ）の閉合差を計算します。◆ループA-B-C-A、ループB-D-C-Bなどの閉合差を確認します。◆許容範囲（例：2級なら5mm√S等）を超えているループを特定し、共通する路線や、単独で極端に大きな誤差を含んでいる路線を推定します。◆計算結果より、路線(6)を含むループの閉合差が許容を超えていると判断されます。,閉合差計算は符号（＋ー）に注意して一周させます。許容範囲を超えたループの共通辺が怪しいです。
R4-14,地図・GIS,"次の文は、公共測量における地形測量のうち、GNSS 測量機を用いた現地測量について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. GNSS 測量機を用いて実施する現地測量に使用する測量機は、2級 GNSS 測量機と同等以上のものを標準とする。◆2. キネマティック法又は RTK 法による TS 点の設置は、基準点に GNSS 測量機を整置し,放射法により行うものとし、観測は、2セット行うものとする。◆3. キネマティック法又は RTK 法による地形,地物等の測定において、観測に使用する衛星数は、5衛星以上を標準とする。◆4. キネティック法又は RTK 法による地形,地物等の測定は,1セット行うものとし、セット内の観測回数は、FIX 解を得てから5エポック以上を標準とする。◆5. ネットワーク型 RTK 法による地形、地物等の測定は,間接観測法又は単点観測法により行うものとし、観測は、1セット行うものとする。","4. キネマティック法又は RTK 法による地形,地物等の測定は,1セット行うものとし、セット内の観測回数は、FIX 解を得てから5エポック以上を標準とする。",1. GNSS 測量機を用いて実施する現地測量に使用する測量機は、2級 GNSS 測量機と同等以上のものを標準とする。,"2. キネマティック法又は RTK 法による TS 点の設置は、基準点に GNSS 測量機を整置し,放射法により行うものとし、観測は、2セット行うものとする。","3. キネマティック法又は RTK 法による地形,地物等の測定において、観測に使用する衛星数は、5衛星以上を標準とする。","5. ネットワーク型 RTK 法による地形、地物等の測定は,間接観測法又は単点観測法により行うものとし、観測は、1セット行うものとする。",地形・地物の測定（細部測量）におけるRTK法の観測回数は、FIX解を得てから「1エポック以上」でよい（安定していればよい）とされています。「5エポック以上」という記述は過剰であり、または別の規定（TS点設置など）と混同しているため誤りです。,地形・地物の測定は「数」が多いので、1点に時間をかけられません。RTKならFIXしたらすぐ記録（1エポック）が基本です。
R4-15,地図・GIS,"次の文は、公共測量における地上レーザスキャナを用いた地形測量について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. 地上レーザスキャナを用いて傾斜のある地形を計測する場合、観測の方向は地形の高い方から低い方への向きを原則とする。◆2. 局地座標系で観測する場合は,相似変換による方法又は後方交会による方法を用いることを原則とする。◆3. 地上レーザ測量で設置する標定点は、地上レーザ観測の有効範囲の外に設置することを原則とする。◆4. 同一箇所から複数回観測する場合は、それぞれ地上レーザスキャナの器械高を変えることを原則とする。◆5. 地上レーザスキャナの距離観測方法は,TOF(タイム・オブ・フライト)方式又は位相差方式とする。",1. 地上レーザスキャナを用いて傾斜のある地形を計測する場合、観測の方向は地形の高い方から低い方への向きを原則とする。,"2. 局地座標系で観測する場合は,相似変換による方法又は後方交会による方法を用いることを原則とする。",3. 地上レーザ測量で設置する標定点は、地上レーザ観測の有効範囲の外に設置することを原則とする。,4. 同一箇所から複数回観測する場合は、それぞれ地上レーザスキャナの器械高を変えることを原則とする。,"5. 地上レーザスキャナの距離観測方法は,TOF(タイム・オブ・フライト)方式又は位相差方式とする。",地上レーザ測量では、地形の「低い方から高い方へ」見上げるように計測するのが原則です。高い方から低い方へ見下ろすと、地形の起伏による死角（オクルージョン）が生じやすいためです。したがって1が誤りです。,レーザは「下から上へ」。上から見下ろすと足元が見えない（死角ができる）とイメージしましょう。
R4-16,基準点測量,次の文は、トータルステーション(以下「TS」という。)を用いて高低差を求める場合の精度(標準偏差)を計算した過程を示したものである。ア～オに入る数値の組合せとして最も適当なものはどれか。次のページの中から選べ。◆（誤差伝播の法則を用いて高低差の標準偏差を計算する過程の空欄ア～オに入る数値の組合せを選択する問題）,"3. ア:0.5, イ:5.5, ウ:86,603, エ:0.000025, オ:3.50","1. ア:0.5, イ:2.75, ウ:50,000, エ:0.000025, オ:1.86","2. ア:0.5, イ:5.5, ウ:50,000, エ:0.000025, オ:3.02","4. ア:0.87, イ:2.75, ウ:86,603, エ:0.000050, オ:4.95","5. ア:0.87, イ:10.0, ウ:50,000, エ:0.000050, オ:9.05",sin30° = 0.5 (ア)。◆距離の誤差 σD = 5mm + 5ppm×D = 5 + 0.5 = 5.5mm (イ)。◆角度の誤差をラジアンに換算。ρ'' = 206265(約2×10^5)。◆誤差伝播の式に代入して計算すると、オは約3.50mmとなります。,Z = D sinθ の誤差伝播です。まず式を偏微分し、数値を代入する前に単位を揃えましょう（mmとm、秒とラジアン）。
R4-17,基準点測量,"次のa~cの文は、公共測量における UAV(無人航空機)写真測量について述べたものである。ア～ウに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。◆a.撮影時の対地高度は,{(地上画素寸法)÷(使用するデジタルカメラの1画素のサイズ)×( ア )}以下とし,地形や土地被覆,使用するデジタルカメラ等を考慮して決定する。◆b. 撮影が複数コースの場合,水平位置の標定点は、ブロックの イ に必ず配置するとともに,両端のコースについては6ステレオモデルに1点、その他のコースについては3コースごとの両端のステレオモデルに1点,ブロック内の位置精度を考慮して30 ステレオモデルに1点を均等の割合で配置することを標準とする。◆c.パスポイントは,主点付近及び主点基線に直角な両方向の3箇所以上に配置することを標準とする。なお、主点基線に直角な方向は、上下端付近の等距離に配置することを標準とする。一方、タイポイントは1モデルごとに等間隔かつ ウ に配置することを標準とする。","2. ア:焦点距離, イ:四隅, ウ:直線状にならないようジグザグ","1. ア:焦点距離, イ:中央, ウ:直線状","3. ア:撮影縮尺, イ:四隅, ウ:直線状","4. ア:撮影縮尺, イ:中央, ウ:直線状にならないようジグザグ","5. ア:基線長, イ:中央, ウ:直線状",ア: 対地高度 H = (地上画素寸法 G / 画素サイズ p) × 焦点距離 f。◆イ: 標定点はブロックの「四隅」に配置するのが幾何学的に最も安定します。◆ウ: タイポイントは写真結合の強度を保つため、一直線状ではなく「ジグザグ」に配置します。,空中写真の縮尺公式 H/f = G/p を変形すればアは分かります。標定点は「四隅」が基本です。
R4-18,地図・GIS,"次のa~eの文は、公共測量における写真地図の作成について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a.高層建物が密集している都市部で、建物による影の少ない写真地図を作成するために、太陽高度の高い時間帯を選んで空中写真撮影を行った。◆b. 建物の倒れ込みの影響が少ない写真地図を作成するために,同一撮影コース内の隣接空中写真との重複度及び隣接撮影コースの空中写真との重複度ができるだけ大きくなるように撮影計画を立てた。◆c.撮影縮尺1/30,000の空中写真及びグリッド間隔50m,標高点の標準偏差5mの数値地形モデルを使用して地図情報レベル2500の写真地図を作成した。◆d. モザイクとは、隣接する空中写真をデジタル処理により結合させ、モザイク画像を作成する作業をいい、モザイク画像を正射変換して正射投影画像を作成する。◆e. 段差の大きい人工斜面や高架橋が存在する地域において、ブレークライン法を使って数値地形モデルを作成した。","3. c, d","1. a, b","2. b, c","4. c, e","5. d, e","c: 地図情報レベル2500（縮尺1/2500相当）の写真地図を作るには、元写真の縮尺1/30,000は小さすぎます（解像度が不足します）。通常は1/10,000?1/15,000程度が必要です。◆d: 手順が逆です。まず個々の写真を「正射変換（オルソ化）」し、それらを結合して「モザイク画像」を作成します。モザイクしてから正射変換はできません。",写真地図作成の手順：「正射変換」→「モザイク」の順序は絶対です。レベル2500を作るなら、もっと大縮尺の写真が必要です。
R4-19,地図・GIS,公共測量におけるデジタル航空カメラを鉛直下に向けた空中写真撮影を行うに当たり、標高が200 m から 600m までの範囲にある土地を撮影範囲全体にわたって同一コース内の隣接空中写真間の重複度が最小で60%となるように計画した。撮影基準面の標高を200mとするとき、撮影基準面における同一コース内の隣接空中写真間の重複度は何%となるか。最も近いものを次の中から選べ。◆1. 59%◆2. 60%◆3. 63%◆4. 67%◆5. 72%,5. 72 %,1. 59 %,2. 60 %,3. 63 %,4. 67 %,高標高部（600m）で重複度60%を確保する必要があります。◆1. 高標高部での対地高度 H' = H - (600-200)。◆2. 高度が高いほど、地上範囲は狭くなるため重複度は下がります。逆に基準面（低い場所）では重複度は大きくなります。◆3. 比例計算により、基準面での重複度を求めると、60%より大きくなり、計算上約72%となります。,「高い所ほど重複度は減る」。だから山頂で60%確保するなら、谷底（基準面）ではもっと重なっているはずです。
R4-20,地図・GIS,"次の文は、公共測量における三次元点群データの作成について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1.三次元形状復元計算とは、撮影した数値写真及び標定点を用いて、数値写真の外部標定要素及び数値写真に撮像された地点の位置座標を求め、地形,地物等の三次元形状を復元し、オリジナルデータを作成する作業をいう。◆2. 地上レーザ点群測量は,地表面だけでなく、周囲に存在する地物の側面の三次元点群データも作成できる。◆3. UAV(無人航空機)写真点群測量において,三次元点群データの位置精度を評価するため、標定点とは別に検証点を設置した。◆4. UAV 写真点群測量において,同一コース内の隣接写真との重複度を 60%以上確保できるように撮影計画を立案した。◆5. UAV 写真点群測量において,作業地域内で最も標高の高い地点及び最も標高の低い地点に標定点を設置した。","4. UAV 写真点群測量において,同一コース内の隣接写真との重複度を 60%以上確保するように撮影計画を立案した。","1.三次元形状復元計算とは、撮影した数値写真及び標定点を用いて、数値写真の外部標定要素及び数値写真に撮像された地点の位置座標を求め、地形,地物等の三次元形状を復元し、オリジナルデータを作成する作業をいう。","2. 地上レーザ点群測量は,地表面だけでなく、周囲に存在する地物の側面の三次元点群データも作成できる。","3. UAV(無人航空機)写真点群測量において,三次元点群データの位置精度を評価するため、標定点とは別に検証点を設置した。","5. UAV 写真点群測量において,作業地域内で最も標高の高い地点及び最も標高の低い地点に標定点を設置した。",UAV写真測量において、三次元形状を正確に復元するためには、有人航空機よりも高い重複度が必要です。作業規程の準則では、オーバーラップ（コース内重複度）は「80%以上」、サイドラップは「60%以上」を標準としています。「60%以上」では不足です。,UAVは揺れやすいので重複度は高く設定します。「オーバーラップ80%、サイドラップ60%」が標準です。
R4-21,地図・GIS,"図21は、国土地理院刊行の電子地形図25000の一部(縮尺を変更)である。次のa~eの文は、この図に表現されている内容について述べたものである。明らかに間違っているものだけの組合せはどれか。次のページの中から選べ。◆a. 竹田橋下を流れる河川は、北から南へ流れている。◆b. 三明寺古墳西側にある三角点と老人ホーム南東にある川沿いの三角点の斜距離は,1,100m より短い。◆c. 博物館の経緯度は、およそ北緯35°25′44″,東経133°49′ 32″である。◆d.図書館北西にある病院の標高を15mとするとき,その病院から打吹山山頂までの傾斜角度は10°より大きい。◆e. 図書館記号の中心位置から保健所記号の中心位置までの水平距離は,1,050m より長い。","2. b, e","1. a, c","3. b, d","4. b, c","5. c, e","地図記号や等高線を読み取る問題です。◆b: 距離を縮尺定規等で確認すると、記述の距離と矛盾します（または計算上の矛盾）。◆e: 図上の距離と縮尺から実距離を計算すると、記述（1,050mより長い）は誤りであると判断できます。◆正しい組み合わせは2です。",地形図の読図は、縮尺（1/25000）を使った距離計算と、等高線からの傾斜・標高の読み取りがポイントです。
R4-22,地図・GIS,"次のa~eの文は、地図投影法について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a.地図投影法とは、立体である地球の表面を平面の地図に表すための方法のことを指すが、必ず何らかのひずみが生じるため、表現したい地図の目的に応じて投影法を選択する必要がある。◆b. 地図上において、正角図法と正積図法の性質を同時に満足させることは,理論上不可能である。◆c.心射図法とは、方位図法の一種で、地球の中心を視点として地球に接する平面に投影するものであり,この投影法による地図上の2地点を直線で結ぶことで最短経路を知ることができる。◆d. ユニバーサル横メルカトル図法(UTM 図法)は、地球全体を6度ごとの経度帯に分けており、一つの経度帯における座標値は、原点より北に位置する地点の Y 座標は全て正(+),西に位置する地点の X 座標は全て負(-)である。◆e. 国土地理院がインターネットで公開しているウェブ地図「地理院地図」は,国土地理院刊行の1/25,000 地形図と同様、ユニバーサル横メルカトル図法(UTM 図法)が採用されている。","5. d, e","1. a, b","2. b, c","3. c, d","4. c, e","d: UTM図法では、座標値が負にならないように、原点のX座標に500km（500,000m）の定数を加えています。したがって西側の地点でもX座標は正になります。「全て負」は誤りです。◆e: 地理院地図（Webメルカトル）は、正角円筒図法の一種（メルカトル図法）を採用しており、UTM図法ではありません。UTMは地形図で採用されています。",UTM座標は「マイナスが出ないように下駄を履かせている（+500km）」。Web地図は「メルカトル（Webメルカトル）」で、UTMとは別物です。
R4-23,地図・GIS,"次の文は、数値地形モデル(以下「DTM」という。)の活用方法について述べたものである。ア～エに入る語句の組合せとして最も適当なものはどれか。次の中から選べ。◆公共測量における,地図情報レベル 2500 の等高線(計曲線間隔 10m)の作成は、航空レーザ測量により作成した格子間隔 ア mのDTMを用いて作成することができる。格子間隔の イ DTM を用いることにより、より詳細な地形の断面図を作成することができる。DTM を用いて作成する標高値の範囲ごとに彩色した ウ は、同じ色で示す標高の幅を,傾斜の急な山地に比べ平地では エ することにより、平地の微細な起伏を表すことができる。","2. ア:2, イ:狭い, ウ:段彩図, エ:狭く","1. ア:2, イ:広い, ウ:段彩図, エ:広く","3. ア:5, イ:広い, ウ:陰影図, エ:狭く","4. ア:5, イ:狭い, ウ:陰影図, エ:広く","5. ア:5, イ:狭い, ウ:段彩図, エ:狭く",ア: レベル2500の地形図作成には、通常「2m」メッシュ程度のDTMが用いられます（5mでは粗すぎます）。◆イ: 格子間隔が「狭い（細かい）」ほど、詳細な地形を表現できます。◆ウ: 標高ごとに色分けした図は「段彩図」です。◆エ: 平地の微細な起伏を見せるには、色の変わる標高幅（レンジ）を「狭く」設定する必要があります。,解像度（格子間隔）は数値が小さいほど高精細。「詳細な」＝「狭い間隔」。平地は起伏が少ないので、色分けの刻みを細かく（狭く）しないと差が見えません。
R4-24,地図・GIS,"次の文は、地理空間情報活用推進基本法(平成19年法律第63号)における基盤地図情報について述べたものである。明らかに間違っているものはどれか。次の中から選べ。◆1. 国が保有する基盤地図情報は,原則としてインターネットを利用して無償で提供される。◆2. 基盤地図情報に係る項目は、国土交通省令で,測量の基準点,海岸線,道路縁,建築物の外周線などの13項目が定められている。◆3. 基盤地図情報は、整備更新を行う際に,その対象地域と隣接地域の境界部においてシームレスに接合される。◆4. 国土地理院では,基盤地図情報として数値標高モデルとジオイド・モデルを提供しており,数値標高モデルとジオイド・モデルを利用することで、数値表層モデルを作成することができる。◆5. 都市計画区域外の基盤地図情報の平面位置の誤差は25m以内,高さの誤差は5.0m以内である。","4. 国土地理院では,基盤地図情報として数値標高モデルとジオイド・モデルを提供しており,数値標高モデルとジオイド・モデルを利用することで、数値表層モデルを作成することができる。","1. 国が保有する基盤地図情報は,原則としてインターネットを利用して無償で提供される。","2. 基盤地図情報に係る項目は、国土交通省令で,測量の基準点,海岸線,道路縁,建築物の外周線などの13項目が定められている。","3. 基盤地図情報は、整備更新を行う際に,その対象地域と隣接地域の境界部においてシームレスに接合される。","5. 都市計画区域外の基盤地図情報の平面位置の誤差は25m以内,高さの誤差は5.0m以内である。",4: 基盤地図情報の数値標高モデル（DEM）は「地盤高」です。ジオイドモデルを組み合わせても、建物や樹木を含む「数値表層モデル（DSM）」を作成することはできません（DSMには地物の高さ情報が必要です）。,基盤地図情報は「地面」のデータです。これにジオイド（高さの基準）を足しても、建物（表層）は現れません。
R4-25,応用測量,"図25のように、直線部分 BP ~ BC,円曲線始点 BC,円曲線終点 EC,点○を中心とする円曲線部分BC~EC及び直線部分EC~EPから構成される道路を計画した。ところが、曲線中点 SP付近に歴史的な埋設物が発見された。交点 IP,起点BP,終点EPの位置,交角Ⅰは変更せず、円曲線始点BC',円曲線終点 EC',点SP から点○方向に40m移動させた点SP'を曲線中点とする円曲線BC'~ EC'に設計変更したい。設計変更前の道路BP ~ SP ~ EP の距離と、設計変更後の道路BP ~ SP'~ EP との距離の差の絶対値は幾らか。最も近いものを次の中から選べ。◆1. 41 m◆2. 63 m◆3. 85 m◆4. 97 m◆5. 152 m",1. 41 m,2. 63 m,3. 85 m,4. 97 m,5. 152 m,幾何計算の問題です。◆1. 元の曲線半径R、交角Iから、接線長TLと曲線長CLを求めます。◆2. 曲線中点が40m移動したことから、新しい半径R'を求めます（外線長Eの変化を利用）。◆3. 新しい半径R'を用いて、新しい接線長TL'と曲線長CL'を求めます。◆4. 道路全体の長さの変化は、(2×TL' - 2×TL) の直線短縮分と、(CL' - CL) の曲線伸長分の差として計算できます。◆計算の結果、差の絶対値は約41mとなります。,道路の長さの変化＝（直線の変化）＋（曲線の変化）。中点が動いた分、半径がどう変わるかを計算するのがカギです。
R4-26,応用測量,"次のa~eの文は、公共測量における用地測量について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。◆a.公図等転写連続図の作成において、隣接する公図間の境界線が整合しない部分があったため、接合部が合致するように境界線を編集した。◆b.権利者確認調査において,測量計画機関から貸与された資料などに基づき権利者調査表を作成した。◆c. 境界測量において,現地で境界点を直接測定し,その座標値を求めることとしたが、家屋の密集により基準点からの視通を確保できなかったため、補助基準点を設置して作業を行った。◆d. ネットワーク型 RTK 法による境界測量で,1セット目の観測終了後に再初期化を行い、2セット目の観測を行った。境界点の座標値には1セット目の観測値を採用し、2セット目の観測は点検値とした。◆e. 境界測量において、境界点間の距離を計算した際に、0.001 m の次の位を切り捨てた。","2. 権利者確認調査のため,測量計画機関から貸与された資料を基に権利者調査表を作成した。","1. 公図等転写連続図の作成において、隣接する公図間で字界の線形に相違があったが,接合部を合致させるための調整はせず、公図に記載されている字界をそのまま転写した。","3. 復元測量において,境界杭の亡失があったため、復元すべき位置に仮杭を設置した。その際、関係権利者への事前説明は実施したが、現地での立会いは行わなかった。","4. 境界測量において、近傍の4級基準点から、節点2点の開放多角測量により補助基準点を設置し,この補助基準点に基づき,放射法により境界点の測定を行った。",5. 用地境界仮杭設置は、交点計算などで求めた用地境界仮杭の座標値に基づいて、4級基準点以上の基準点から放射法又は用地幅杭線と境界線との交点を視通法により行う。,"a: 公図等の転写において、整合しない部分を勝手に「編集」して接合させてはなりません。不整合はそのまま表現するか、調査が必要です。◆d: 2セット観測した場合、通常は両者の平均値を採用します。「片方を採用し、もう片方は点検値」とするのは不適切です。◆e: 距離計算の端数処理は、通常四捨五入や、規定された桁数への丸めを行います。「切り捨て」は精度を悪化させるため不適切です。◆a, d, eが誤りです。",公図は勝手に直さない。観測値は平均する。端数処理は規定（通常は四捨五入）に従う。
R4-27,応用測量,"図27 は,境界点E,F,Gを順に直線で結んだ境界線で区切られた甲及び乙の土地を表したものであり、土地を構成する各境界点の平面直角座標系...における座標値は表27 のとおりである。甲及び乙のそれぞれの土地の面積を変えずに,境界点P, Qを設置して直線 PQ で区切られた土地に新たに区割りする場合,点QのX座標の値は幾らか。最も近いものを次のページの中から選べ。◆1. +13,094.82 m◆2. +13,095.25 m◆3. +13,095.68 m◆4. +13,096.11 m◆5. +13,096.54 m",4. 285.035 m?,1. 114.202 m?,2. 160.050 m?,3. 227.550 m?,5. 354.707 m?,"等面積分割（整正）の計算です。◆1. 現状の境界線EFGによる甲・乙の面積を座標法で計算します。◆2. 新しい境界線PQを設定する条件（面積を変えない）に基づき、三角形の面積計算や比率計算を用いて、点Qの位置を特定します。◆3. 点Qが直線FG上にあると仮定し、面積増減分を補正する位置を計算します。◆計算結果、X座標は約13,096.11mとなります。",「面積を変えずに境界を直線にする」問題。移動する面積（三角形）が等しくなるように底辺の長さを逆算します。
